province,month,median_income,n_obs,weighted_n
Napo,08,156,181,132867.07151768243
Pastaza,08,253,261,125548.7441030297
Pichincha,08,515,1763,1255375.719350376
Tungurahua,08,340,1068,242789.54942621893
Zamora Chinchipe,08,480,219,51652.038441182194
Galapagos,08,985,109,8998.11339782282
Sucumbios,08,270,290,66056.23577875565
Orellana,08,260,229,195706.44602540726
Santo Domingo de los Tsachilas,08,460,224,220835.44143563186
Santa Elena,08,396,492,242723.31085361715
Azuay,09,478,1168,240199.07107856264
Bolivar,09,280,185,48128.15546904843
Canar,09,382,249,125247.10564221
Carchi,09,350,230,52102.90660225373
Cotopaxi,09,320,218,188659.4962720124
Chimborazo,09,300,241,203933.74526102637
El Oro,09,472,1259,260694.25005160912
Esmeraldas,09,252,621,317500.4079543772
Guayas,09,470,1495,2009619.0442716915
Imbabura,09,400,537,159178.80977824735
Loja,09,310,393,166666.10934027046
Los Rios,09,300,200,307011.20106649416
Manabi,09,360,259,647128.0215676122
Morona Santiago,09,210,142,214514.9215772251
Napo,09,205,192,161428.644622424
Pastaza,09,235,212,83019.429375532
Pichincha,09,523,1819,1157912.2946591112
Tungurahua,09,400,987,176559.73248420338
Zamora Chinchipe,09,420,196,46963.826273163715
Galapagos,09,1058,125,14607.757490650312
Sucumbios,09,400,267,103721.16805319783
Orellana,09,221,226,297664.52600260114
Santo Domingo de los Tsachilas,09,420,211,212110.84628383358
Santa Elena,09,300,440,188341.59718628088
Azuay,10,472,1132,363731.9120589346
Bolivar,10,400,198,42390.55094632979
Canar,10,340,237,105054.56957747803
Carchi,10,310,242,67479.80249118748
Cotopaxi,10,350,245,221000.94641829183
Chimborazo,10,275,221,125847.35621086172
El Oro,10,460,1268,277397.01335370546
Esmeraldas,10,270,648,361602.46789786994
Guayas,10,410,1457,2026411.4784798827
Imbabura,10,390,530,172124.11908401118
Loja,10,400,436,155411.39042747667
Los Rios,10,415,230,455891.9848933777
Manabi,10,315,276,640302.0651921374
Morona Santiago,10,170,138,141574.31785741012
Napo,10,125,189,176071.84786268792
Pastaza,10,183,222,182361.73394980788
Pichincha,10,488,1768,1163995.6854653712
Tungurahua,10,316,1054,162898.49549927944
Zamora Chinchipe,10,520,240,87401.81716146463
Galapagos,10,1000,113,11324.256438645689
Sucumbios,10,300,298,76986.20139220926
Orellana,10,285,218,81272.17343767105
Santo Domingo de los Tsachilas,10,420,258,195036.91802207986
Santa Elena,10,400,438,147907.016640524
Azuay,11,500,1157,253043.42182945192
Bolivar,11,310,188,61570.40387266488
Canar,11,470,209,73630.79635044002
Carchi,11,300,267,60418.28128478903
Cotopaxi,11,400,262,222506.951765726
Chimborazo,11,250,240,206131.46198818806
El Oro,11,470,1338,290694.6225317787
Esmeraldas,11,250,610,313266.89090796234
Guayas,11,470,1580,1935714.7226205214
Imbabura,11,280,554,149687.14317598628
Loja,11,380,373,139350.56391803653
Los Rios,11,370,259,391361.4277294338
Manabi,11,338,256,599861.4724474376
Morona Santiago,11,150,130,109097.92468221359
Napo,11,210,229,127906.36445826819
Pastaza,11,150,234,259099.94544703804
Pichincha,11,500,1752,1243294.9049489438
Tungurahua,11,450,969,168880.42221610804
Zamora Chinchipe,11,285,238,70475.38721848016
Galapagos,11,1135,99,6965.447123890277
Sucumbios,11,180,310,179810.49113212188
Orellana,11,300,247,134828.73309517867
Santo Domingo de los Tsachilas,11,473,208,163965.09786492554
Santa Elena,11,380,479,257046.08409103047
Azuay,12,470,1147,250158.15310201663
Bolivar,12,365,185,50131.378523720945
Canar,12,353,237,126504.63693993932
Carchi,12,340,295,65230.5724313449
Cotopaxi,12,320,218,144681.98457128616
Chimborazo,12,400,225,143682.1878181793
El Oro,12,460,1343,280744.55104276445
Esmeraldas,12,300,622,295142.1956218898
Guayas,12,440,1481,2047889.0196320016
Imbabura,12,400,609,169376.62781745268
Loja,12,350,399,160749.81342564258
Los Rios,12,470,222,368696.28283038747
Manabi,12,310,264,630331.6924121082
Morona Santiago,12,172,142,336743.2465329003
Napo,12,186,188,93480.572177174
Pastaza,12,294,225,57556.223133366606
Pichincha,12,500,1754,1118635.687047408
Tungurahua,12,400,1022,215247.32028338755
Zamora Chinchipe,12,300,251,141243.92934662016
Galapagos,12,1025,107,7224.914981139593
Sucumbios,12,300,278,82839.96858531571
Orellana,12,261,235,188550.5746304327
Santo Domingo de los Tsachilas,12,500,211,168979.7872165535
Santa Elena,12,300,454,172301.0583420182
